0.1789	17	DET	_
0.0842	8	ADJ	_
0.3474	33	_	_
0.0947	9	NOUN	_
0.0105	1	ADP	_
0.0526	5	VERB	_
0.0105	1	PRON	_
0.0842	8	PUNCT	_
0.0421	4	ADV	_
0.0105	1	PART	_
0.0316	3	PROPN	_
0.0421	4	CCONJ	_
0.0105	1	PREP	_
1.0000	3	DET	A
1.0000	2	ADJ	mai
1.0000	1	_	település
1.0000	1	NOUN	elődje
1.0000	10	DET	a
1.0000	1	ADJ	„bécsi
1.0000	1	_	nagyúton”
1.0000	1	_	vámszedő
1.0000	1	_	helyként
1.0000	1	_	létesített
1.0000	1	_	Rábca-híd
1.0000	1	ADP	mellett
1.0000	1	VERB	alakult
1.0000	1	PRON	ki
1.0000	3	DET	az
1.0000	1	_	Árpád-korban
1.0000	5	PUNCT	.
1.0000	1	DET	Az
1.0000	1	VERB	egyre
1.0000	1	_	gyakoribb
1.0000	1	NOUN	árvizek
1.0000	1	ADV	elől
1.0000	1	_	1830-ban
1.0000	1	NOUN	falu
1.0000	1	_	Rábca-partról
1.0000	1	ADV	helyére
1.0000	1	_	költözött
1.0000	3	PUNCT	,
1.0000	1	ADV	itt
1.0000	1	VERB	épült
1.0000	1	PART	fel
1.0000	1	_	1845-ben
1.0000	1	ADV	már
1.0000	1	_	1739-ben
1.0000	1	_	önállósult
1.0000	1	_	egyházközség
1.0000	1	PROPN	Szent
1.0000	1	_	József-temploma
1.0000	1	ADJ	nagy
1.0000	1	_	nemzetközi
1.0000	1	_	forgalommal
1.0000	1	_	rendelkező
1.0000	1	_	településen
1.0000	1	ADJ	1980-as
1.0000	1	NOUN	évek
1.0000	1	NOUN	végétől
1.0000	1	VERB	kiépült
1.0000	1	_	híres-hírhedt
1.0000	1	ADJ	abdai
1.0000	1	_	bazársor
1.0000	1	NOUN	község
1.0000	1	NOUN	folyó-
1.0000	4	CCONJ	és
1.0000	1	_	állóvizei
1.0000	1	_	horgászásra
1.0000	1	_	Holt-Rábca
1.0000	1	NOUN	vidéke
1.0000	1	ADJ	ártéri
1.0000	1	NOUN	erdők
1.0000	1	_	természetjárásra
1.0000	1	_	alkalmasak
1.0000	1	PROPN	Abda
1.0000	1	_	Mosoni-sík
1.0000	1	_	Csornai-sík
1.0000	1	_	találkozásánál
1.0000	1	PROPN	Rábca
1.0000	1	_	Mosoni-Duna
1.0000	1	PREP	által
1.0000	1	_	közrezárt
1.0000	1	ADJ	síksági
1.0000	1	_	területen
1.0000	1	VERB	fekszik
